arm,seed,mean_iou,rangeland_iou,evaluation_population,source
B0,19,0.382958,0.000000160571,OEM Paris-excluded 74-city primary replay,flair_b1_oem_no_paris_replay.log
B1,19,0.339969,0.312425754195,OEM Paris-excluded 74-city primary replay,flair_b1_oem_no_paris_replay.log
B0,37,0.380220,0.000000000000,OEM Paris-excluded 74-city primary replay,flair_b1_oem_no_paris_replay.log
B1,37,0.329173,0.318744523930,OEM Paris-excluded 74-city primary replay,flair_b1_oem_no_paris_replay.log
B0,73,0.373597,0.000000000000,OEM Paris-excluded 74-city primary replay,flair_b1_oem_no_paris_replay.log
B1,73,0.341146,0.304113320744,OEM Paris-excluded 74-city primary replay,flair_b1_oem_no_paris_replay.log
B0-half,19,0.365225,0.000000000000,OEM Paris-excluded 74-city exposure control,flair_b1_b0_half_oem_no_paris_replay.log
B0-half,37,0.382470,0.000000000000,OEM Paris-excluded 74-city exposure control,flair_b1_b0_half_oem_no_paris_replay.log
B0-half,73,0.368259,0.000000000000,OEM Paris-excluded 74-city exposure control,flair_b1_b0_half_oem_no_paris_replay.log
